conversation_id,interaction_id,call_type,model,provider,temperature,messages,confidence_score,response,token_usage,timestamp
conv_20250709_c292f1a5,1,Classification,gpt-4o,openai,0,0.9,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""hola\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User:  | Bot: \"", \""third_to_last_interaction\"": \""\""}""}]","{""classification"": ""No Relacionado"", ""confidence_score"": 0.9, ""inputs"": {}, ""missing_inputs"": [], ""follow_up_prompt"": ""¡Hola! ¿En qué puedo ayudarte hoy?""}","{'completion_tokens': 50, 'prompt_tokens': 5532, 'total_tokens': 5582, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:17:21
conv_20250709_c292f1a5,2,Classification,gpt-4o,openai,0,0.92,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""Cuantos tickets se han registrado en lo que va de esta semana habil'\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: hola | Bot: \"", \""third_to_last_interaction\"": \""User:  | Bot: \""}""}]","{""classification"": ""Búsqueda de Query"", ""confidence_score"": 0.92, ""inputs"": {""user_question"": ""Cuantos tickets se han registrado en lo que va de esta semana habil""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 64, 'prompt_tokens': 5551, 'total_tokens': 5615, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:17:36
conv_20250709_c292f1a5,2,SQL Generation,gpt-4o-mini,openai,0,,"[{""role"": ""system"", ""content"": ""[PROMPT:queryprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""Cuantos tickets se han registrado en lo que va de esta semana habil""}]","{""sql_query"": ""SELECT TOP 100 iError = 0, vError = '', vJsonType = 'Query', COUNT(*) AS TotalTickets FROM Tickets WHERE CONVERT(datetime, FechaCreado, 101) >= DATEADD(DAY, -DATEDIFF(DAY, 0, GETDATE()) % 7, GETDATE()) AND CONVERT(datetime, FechaCreado, 101) < DATEADD(DAY, 1, GETDATE()) ORDER BY CONVERT(datetime, FechaCreado, 101) DESC"", ""mensaje"": ""Se cuenta el total de tickets registrados desde el inicio de la semana actual.""}","{'completion_tokens': 132, 'prompt_tokens': 3203, 'total_tokens': 3335, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:17:38
conv_20250709_c292f1a5,3,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""cual es el ticket 9?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: Cuantos tickets se han registrado en lo que va de esta semana habil' | Bot: \"", \""third_to_last_interaction\"": \""User: hola | Bot: \""}""}]","{""classification"": ""Consulta de Tickets"", ""confidence_score"": 0.95, ""inputs"": {""ticket_number"": ""9"", ""user_question"": ""cual es el ticket 9?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 63, 'prompt_tokens': 5558, 'total_tokens': 5621, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:18:20
conv_20250709_c292f1a5,5,Ticket Query,gpt-4o-mini,openai,0.3,,"[{""role"": ""system"", ""content"": ""[PROMPT:ticketprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""cual es el ticket 9?""}]","""Aquí está toda la información del ticket 9:\n\n    * IdTicket: 9 | Cliente: IC | Titulo: A10-Aplicacion de reestructuras | Descripcion: Aplicacion de reestructuras-Se platicó con Karla Reyes acerca de este requerimiento y me comentó que este desarrollo ya no lo tiene como pendiente. Se da por cerrado el 26/03/2018 | Objetivo: Aplicacion de reestructuras | FechaCreado: 11/01/2018 | HoraCreado: 5:41PM | DetectadoPor: Juan | Asignado A: Juan | Contacto: No especificado | Categoria: Req Desarrollo | Prioridad: Otros | Modulo: No especificado | Estatus: Cerrado | FechaEstatus: 11/01/2018 | HoraEstatus: 5:41PM | Unidades: 0 | Costo: 0.0 | Calificacion: 0 | FechaEntrega: No especificada | Resumen: No especificado | Etiquetas: No especificadas | UltimoComentario: // Email - Notificación de Conclusión - Encuesta | FechaUltimoComentario: 22/09/2021 | HoraUltimoComentario: 3:32PM | DiasDelTicket: 0 | DiasEnEstatus: 2736 | DiasParaCambiar: 0""","{'completion_tokens': 299, 'prompt_tokens': 2871, 'total_tokens': 3170, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:18:27
conv_20250709_c292f1a5,7,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""cual es el titulo del ticket 25000?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: cual es el ticket 9? | Bot: \"", \""third_to_last_interaction\"": \""User: Cuantos tickets se han registrado en lo que va de esta semana habil' | Bot: \""}""}]","{""classification"": ""Consulta de Tickets"", ""confidence_score"": 0.95, ""inputs"": {""ticket_number"": ""25000"", ""user_question"": ""cual es el titulo del ticket 25000?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 67, 'prompt_tokens': 5567, 'total_tokens': 5634, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:18:51
conv_20250709_c292f1a5,9,Ticket Query,gpt-4o-mini,openai,0.3,,"[{""role"": ""system"", ""content"": ""[PROMPT:ticketprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""cual es el titulo del ticket 25000?""}]","""El título del ticket 25000 es: Eliminar créditos de solicitudes duplicadas.""","{'completion_tokens': 28, 'prompt_tokens': 3282, 'total_tokens': 3310, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 1920}}",2025-07-09 12:18:54
conv_20250709_c292f1a5,11,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""y su descripcion?\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: cual es el titulo del ticket 25000? | Bot: \"", \""third_to_last_interaction\"": \""User: cual es el ticket 9? | Bot: \""}""}]","{""classification"": ""Pregunta Continuada"", ""confidence_score"": 0.95, ""inputs"": {""context_active"": true, ""user_question"": ""y su descripcion?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 58, 'prompt_tokens': 5555, 'total_tokens': 5613, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:19:02
conv_20250709_c292f1a5,13,Classification,gpt-4o,openai,0,0.95,"[{""role"": ""system"", ""content"": ""[PROMPT:clasificadorprompt_v3.txt]""}, {""role"": ""user"", ""content"": ""{\""user_last_message\"": \""que opinas de la tabla a3 de la documentacion iso'\"", \""bot_last_response\"": \""\"", \""second_to_last_interaction\"": \""User: y su descripcion? | Bot: \"", \""third_to_last_interaction\"": \""User: cual es el titulo del ticket 25000? | Bot: \""}""}]","{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""que opinas de la tabla a3 de la documentacion iso""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}","{'completion_tokens': 59, 'prompt_tokens': 5562, 'total_tokens': 5621, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 5376}}",2025-07-09 12:19:21
conv_20250709_c292f1a5,14,ISO Answer,gpt-4o-mini,openai,1,,"[{""role"": ""system"", ""content"": ""[PROMPT:isoprompt_v1.txt]""}, {""role"": ""user"", ""content"": ""que opinas de la tabla a3 de la documentacion iso""}]","""No tengo información específica sobre la tabla A3 de la documentación ISO. Te recomendaría consultar directamente con el departamento de calidad para obtener aclaraciones precisas sobre este tema.""","{'completion_tokens': 41, 'prompt_tokens': 197, 'total_tokens': 238, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",2025-07-09 12:19:22
